City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
304,kavieng,-2.5744,150.7967,26.93,80,99,2.7,PG,1681071535
305,polyarnyy,69.1989,33.4478,-2.28,92,100,2.82,RU,1681071535
306,fuling,29.7022,107.3919,16.66,74,97,1.14,CN,1681071535
307,santa cruz,-17.8,-63.1667,30.03,51,20,4.12,BO,1681071371
308,nizhniy kuranakh,58.8353,125.4869,-20.41,95,22,1.49,RU,1681071535
309,taoudenni,22.6783,-3.9836,26.21,24,100,6.74,ML,1681071289
310,geraldton,-28.7667,114.6,12.23,94,1,3.6,AU,1681071536
311,hervey bay,-25.2986,152.8535,19.0,53,0,4.78,AU,1681071536
312,noumea,-22.2763,166.4572,25.0,99,3,1.12,NC,1681071536
313,lavrentiya,65.5833,-171.0,-18.03,83,100,2.81,RU,1681071536
314,abu samrah,35.3029,37.1841,17.63,45,100,5.81,SY,1681071536
315,inirida,3.8653,-67.9239,27.26,83,95,1.03,CO,1681071536
316,esperance,-33.8667,121.9,15.44,92,30,5.27,AU,1681071537
317,aguilar de la frontera,37.5143,-4.6554,17.22,30,35,1.43,ES,1681071537
318,palmer,42.1584,-72.3287,14.02,15,20,2.06,US,1681071491
319,tarnow,50.0138,20.987,7.07,75,99,1.84,PL,1681071537
320,puerto del rosario,28.5004,-13.8627,19.86,77,20,4.12,ES,1681071537
321,luganville,-15.5333,167.1667,27.21,80,67,1.16,VU,1681071537
322,qingquan,30.4511,115.2559,14.68,70,1,2.32,CN,1681071538
323,bismarck,46.8083,-100.7837,11.47,61,0,5.66,US,1681071300
324,tarakan,3.3,117.6333,25.93,79,100,1.1,ID,1681071498
325,leh,34.1667,77.5833,-8.95,54,12,1.22,IN,1681071538
326,ipilan,8.8431,117.9033,25.38,83,93,2.23,PH,1681071538
327,manggar,-2.8833,108.2667,25.29,88,100,3.58,ID,1681071538
328,bilibino,68.0546,166.4372,-22.3,86,14,1.96,RU,1681071539
329,henties bay,-22.116,14.2845,14.98,83,0,6.39,NA,1681071539
330,karratha,-20.7377,116.8463,26.05,41,21,4.56,AU,1681071539
331,telimele,10.9167,-13.3333,28.15,45,4,4.66,GN,1681071540
332,qasigiannguit,68.8193,-51.1922,-2.86,95,100,1.95,GL,1681071540
333,bhag,29.0415,67.8239,29.94,22,65,0.88,PK,1681071540
334,namatanai,-3.6667,152.4333,25.55,85,100,2.09,PG,1681071540
335,shadegan,30.6497,48.6647,22.97,15,100,3.81,IR,1681071541
336,padang,-0.9492,100.3543,24.72,87,37,1.61,ID,1681071315
337,walvis bay,-22.9575,14.5053,15.41,69,0,8.37,NA,1681071541
338,khash,28.2211,61.2158,18.56,37,13,1.29,IR,1681071541
339,ixtapa,20.7,-105.2,26.57,65,75,5.66,MX,1681071541
340,agbor,6.2518,6.1934,25.34,89,98,2.44,NG,1681071542
341,kralendijk,12.15,-68.2667,28.99,70,40,9.26,BQ,1681071279
342,araouane,18.9048,-3.5265,30.7,11,100,6.64,ML,1681071542
343,acarau,-2.8856,-40.12,26.38,84,99,3.94,BR,1681071542
344,ukiah,39.1502,-123.2078,24.53,36,0,1.54,US,1681071542
345,taltal,-25.4,-70.4833,21.78,67,22,2.74,CL,1681071542
346,fairbanks,64.8378,-147.7164,-13.62,67,20,5.14,US,1681071414
347,marzuq,14.4,46.4667,22.71,67,19,2.55,YE,1681071543
348,kainantu,-6.2887,145.8655,15.3,98,100,1.41,PG,1681071543
349,usinsk,65.9939,57.5281,-7.88,88,100,8.57,RU,1681071543
350,maniitsoq,65.4167,-52.9,-2.46,81,68,11.67,GL,1681071544
351,kindu,-2.95,25.95,21.52,99,92,2.38,CD,1681071544
352,thunder bay,48.4001,-89.3168,13.99,35,100,5.14,CA,1681071334
353,valera,9.3178,-70.6036,28.32,68,79,0.69,VE,1681071544
354,flin flon,54.7682,-101.865,12.91,38,100,4.63,CA,1681071545
355,tecoanapa,16.5167,-98.75,30.66,54,5,5.75,MX,1681071545
356,poya,-21.35,165.15,24.09,78,0,1.13,NC,1681071545
357,cheyenne,41.14,-104.8203,16.54,29,0,7.2,US,1681071545
